"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Réparation et installation de machines et d'équipements (NAF rév. 2, niveau division, poste 33)";"Codes"
"idBank";"010537840";""
"Période";"";""
"2020-02";"106.37";"A"
"2020-01";"107.59";"A"
"2019-12";"104.49";"A"
"2019-11";"106.29";"A"
"2019-10";"106.03";"A"
"2019-09";"104.8";"A"
"2019-08";"103.63";"A"
"2019-07";"105.04";"A"
"2019-06";"104.69";"A"
"2019-05";"104.88";"A"
"2019-04";"104.93";"A"
"2019-03";"104.64";"A"
"2019-02";"104.98";"A"
"2019-01";"104.3";"A"
"2018-12";"96.42";"A"
"2018-11";"107.1";"A"
"2018-10";"102.66";"A"
"2018-09";"103.29";"A"
"2018-08";"102.56";"A"
"2018-07";"102.29";"A"
"2018-06";"101.46";"A"
"2018-05";"99.72";"A"
"2018-04";"103.3";"A"
"2018-03";"102.96";"A"
"2018-02";"99.92";"A"
"2018-01";"96.49";"A"
"2017-12";"100.61";"A"
"2017-11";"99.01";"A"
"2017-10";"103.21";"A"
"2017-09";"99.61";"A"
"2017-08";"97.42";"A"
"2017-07";"96.52";"A"
"2017-06";"97.9";"A"
"2017-05";"98.07";"A"
"2017-04";"97.46";"A"
"2017-03";"99.73";"A"
"2017-02";"99.38";"A"
"2017-01";"98.35";"A"
"2016-12";"96.03";"A"
"2016-11";"99.74";"A"
"2016-10";"98.7";"A"
"2016-09";"98.95";"A"
"2016-08";"98.76";"A"
"2016-07";"98.77";"A"
"2016-06";"98.83";"A"
"2016-05";"101.3";"A"
"2016-04";"100.67";"A"
"2016-03";"96.98";"A"
"2016-02";"95.35";"A"
"2016-01";"99.57";"A"
"2015-12";"102.97";"A"
"2015-11";"98.88";"A"
"2015-10";"97.9";"A"
"2015-09";"99.1";"A"
"2015-08";"102.18";"A"
"2015-07";"99.57";"A"
"2015-06";"99.93";"A"
"2015-05";"99.52";"A"
"2015-04";"101.31";"A"
"2015-03";"99.18";"A"
"2015-02";"100.21";"A"
"2015-01";"99.25";"A"
"2014-12";"101.98";"A"
"2014-11";"102.58";"A"
"2014-10";"101.81";"A"
"2014-09";"108.23";"A"
"2014-08";"104.26";"A"
"2014-07";"103.99";"A"
"2014-06";"102.51";"A"
"2014-05";"101.04";"A"
"2014-04";"101.91";"A"
"2014-03";"101.44";"A"
"2014-02";"101.02";"A"
"2014-01";"99.11";"A"
"2013-12";"99.35";"A"
"2013-11";"99.62";"A"
"2013-10";"99.54";"A"
"2013-09";"100.3";"A"
"2013-08";"102.64";"A"
"2013-07";"102.75";"A"
"2013-06";"104.3";"A"
"2013-05";"103.71";"A"
"2013-04";"104.42";"A"
"2013-03";"107.07";"A"
"2013-02";"106.24";"A"
"2013-01";"107.94";"A"
"2012-12";"104.53";"A"
"2012-11";"103.2";"A"
"2012-10";"103.73";"A"
"2012-09";"109.64";"A"
"2012-08";"108.18";"A"
"2012-07";"108.12";"A"
"2012-06";"104.66";"A"
"2012-05";"101.73";"A"
"2012-04";"103.73";"A"
"2012-03";"106.63";"A"
"2012-02";"103.03";"A"
"2012-01";"101.11";"A"
"2011-12";"105.38";"A"
"2011-11";"108.4";"A"
"2011-10";"104.88";"A"
"2011-09";"101.46";"A"
"2011-08";"104.86";"A"
"2011-07";"101.62";"A"
"2011-06";"103.77";"A"
"2011-05";"106.99";"A"
"2011-04";"101.71";"A"
"2011-03";"103.2";"A"
"2011-02";"102.48";"A"
"2011-01";"101.5";"A"
"2010-12";"109.07";"A"
"2010-11";"99.99";"A"
"2010-10";"98.31";"A"
"2010-09";"100.86";"A"
"2010-08";"97.99";"A"
"2010-07";"98.34";"A"
"2010-06";"97.1";"A"
"2010-05";"95.92";"A"
"2010-04";"96.6";"A"
"2010-03";"101.17";"A"
"2010-02";"93.97";"A"
"2010-01";"95.29";"A"
"2009-12";"90.62";"A"
"2009-11";"90.69";"A"
"2009-10";"90.85";"A"
"2009-09";"90.06";"A"
"2009-08";"94.27";"A"
"2009-07";"90.98";"A"
"2009-06";"94.2";"A"
"2009-05";"92.52";"A"
"2009-04";"99.49";"A"
"2009-03";"96.21";"A"
"2009-02";"97.46";"A"
"2009-01";"100.04";"A"
"2008-12";"99.69";"A"
"2008-11";"98.28";"A"
"2008-10";"99.45";"A"
"2008-09";"104.47";"A"
"2008-08";"103.74";"A"
"2008-07";"104.06";"A"
"2008-06";"102.08";"A"
"2008-05";"104.66";"A"
"2008-04";"105.82";"A"
"2008-03";"105.92";"A"
"2008-02";"104.5";"A"
"2008-01";"104.43";"A"
"2007-12";"98.08";"A"
"2007-11";"105.98";"A"
"2007-10";"101.88";"A"
"2007-09";"100.46";"A"
"2007-08";"105.86";"A"
"2007-07";"106.64";"A"
"2007-06";"101.78";"A"
"2007-05";"99.81";"A"
"2007-04";"98.3";"A"
"2007-03";"98.18";"A"
"2007-02";"95.87";"A"
"2007-01";"99.0";"A"
"2006-12";"99.31";"A"
"2006-11";"96.6";"A"
"2006-10";"99.72";"A"
"2006-09";"97.91";"A"
"2006-08";"96.16";"A"
"2006-07";"95.41";"A"
"2006-06";"98.57";"A"
"2006-05";"96.68";"A"
"2006-04";"92.32";"A"
"2006-03";"95.23";"A"
"2006-02";"95.7";"A"
"2006-01";"94.49";"A"
"2005-12";"92.79";"A"
"2005-11";"95.71";"A"
"2005-10";"91.36";"A"
"2005-09";"94.59";"A"
"2005-08";"89.89";"A"
"2005-07";"91.12";"A"
"2005-06";"89.83";"A"
"2005-05";"90.78";"A"
"2005-04";"90.36";"A"
"2005-03";"88.15";"A"
"2005-02";"90.74";"A"
"2005-01";"94.7";"A"
"2004-12";"85.18";"A"
"2004-11";"87.03";"A"
"2004-10";"87.83";"A"
"2004-09";"88.87";"A"
"2004-08";"84.75";"A"
"2004-07";"89.45";"A"
"2004-06";"87.18";"A"
"2004-05";"88.04";"A"
"2004-04";"88.44";"A"
"2004-03";"84.78";"A"
"2004-02";"91.49";"A"
"2004-01";"85.5";"A"
"2003-12";"83.83";"A"
"2003-11";"86.29";"A"
"2003-10";"88.73";"A"
"2003-09";"84.08";"A"
"2003-08";"86.41";"A"
"2003-07";"86.91";"A"
"2003-06";"83.13";"A"
"2003-05";"86.13";"A"
"2003-04";"88.35";"A"
"2003-03";"88.48";"A"
"2003-02";"89.92";"A"
"2003-01";"87.02";"A"
"2002-12";"85.51";"A"
"2002-11";"89.55";"A"
"2002-10";"87.57";"A"
"2002-09";"91.35";"A"
"2002-08";"91.8";"A"
"2002-07";"91.16";"A"
"2002-06";"91.72";"A"
"2002-05";"92.85";"A"
"2002-04";"91.82";"A"
"2002-03";"93.5";"A"
"2002-02";"92.99";"A"
"2002-01";"94.11";"A"
"2001-12";"93.23";"A"
"2001-11";"93.02";"A"
"2001-10";"93.72";"A"
"2001-09";"94.44";"A"
"2001-08";"97.09";"A"
"2001-07";"91.6";"A"
"2001-06";"96.2";"A"
"2001-05";"93.89";"A"
"2001-04";"92.38";"A"
"2001-03";"96.42";"A"
"2001-02";"95.5";"A"
"2001-01";"95.25";"A"
"2000-12";"96.77";"A"
"2000-11";"94.84";"A"
"2000-10";"94.53";"A"
"2000-09";"93.46";"A"
"2000-08";"93.85";"A"
"2000-07";"92.38";"A"
"2000-06";"94.4";"A"
"2000-05";"94.14";"A"
"2000-04";"93.42";"A"
"2000-03";"88.88";"A"
"2000-02";"89.33";"A"
"2000-01";"90.83";"A"
"1999-12";"89.58";"A"
"1999-11";"87.43";"A"
"1999-10";"87.95";"A"
"1999-09";"87.0";"A"
"1999-08";"86.72";"A"
"1999-07";"86.0";"A"
"1999-06";"85.56";"A"
"1999-05";"85.8";"A"
"1999-04";"85.39";"A"
"1999-03";"83.28";"A"
"1999-02";"82.6";"A"
"1999-01";"84.2";"A"
"1998-12";"85.64";"A"
"1998-11";"84.36";"A"
"1998-10";"84.52";"A"
"1998-09";"83.46";"A"
"1998-08";"83.2";"A"
"1998-07";"84.64";"A"
"1998-06";"82.62";"A"
"1998-05";"84.65";"A"
"1998-04";"80.78";"A"
"1998-03";"79.59";"A"
"1998-02";"80.51";"A"
"1998-01";"79.75";"A"
"1997-12";"79.72";"A"
"1997-11";"78.74";"A"
"1997-10";"77.5";"A"
"1997-09";"76.76";"A"
"1997-08";"78.67";"A"
"1997-07";"77.67";"A"
"1997-06";"74.1";"A"
"1997-05";"76.09";"A"
"1997-04";"77.72";"A"
"1997-03";"75.24";"A"
"1997-02";"73.17";"A"
